0.000710547, 0.0376907, 1.5331, 0.166237, 0.0356173, 2.09772, 0.005872, -0.017672
0.000710547, 0.0376907, 1.5331, 0.166067, 0.0359099, 2.09825, 0.00706245, 0.0302678
0.000967085, 0.0439687, 1.52681, 0.1652, 0.037396, 2.09832, 0.0550423, -0.0177121
0.000967085, 0.0439687, 1.52681, 0.164645, 0.0383513, 2.09635, 0.0264419, -0.0658163
0.000967085, 0.0439687, 1.52681, 0.163676, 0.0400285, 2.0929, 0.0744112, -0.113786
0.000967085, 0.0439687, 1.52681, 0.162668, 0.0417905, 2.08761, 0.0458092, -0.161748
0.00126308, 0.050245, 1.52053, 0.161283, 0.0442523, 2.07844, 0.0594649, -0.209897
0.00159848, 0.0565193, 1.51425, 0.158714, 0.0489536, 2.06442, 0.117043, -0.267475
0.00159848, 0.0565193, 1.51425, 0.156781, 0.0525836, 2.05597, 0.165096, -0.315527
0.00238758, 0.069061, 1.50168, 0.153429, 0.059045, 2.0429, 0.209122, -0.363588
0.00333416, 0.0815918, 1.48911, 0.147432, 0.0711283, 2.02048, 0.266962, -0.421429
0.00443816, 0.0941097, 1.47655, 0.140467, 0.0860435, 1.99479, 0.294322, -0.469507
0.0056994, 0.106613, 1.46398, 0.135336, 0.0977672, 1.97075, 0.2461, -0.517729
0.00711763, 0.119099, 1.45141, 0.1306, 0.109391, 1.9445, 0.262802, -0.565752
0.00869262, 0.131566, 1.43885, 0.126615, 0.119978, 1.91577, 0.21618, -0.614063
0.0104242, 0.144013, 1.42628, 0.122805, 0.13113, 1.88485, 0.264277, -0.66216
0.0133144, 0.16264, 1.40743, 0.117811, 0.147652, 1.84454, 0.322191, -0.720074
0.0165553, 0.181208, 1.38858, 0.113548, 0.16397, 1.80851, 0.367917, -0.768184
0.0189101, 0.193552, 1.37601, 0.110012, 0.179842, 1.77005, 0.313791, -0.825952
0.0214198, 0.205866, 1.36345, 0.107656, 0.192586, 1.73738, 0.349477, -0.864394
